旧文件,新文件,处理
无,cases/tandem_baseline_r2/README.md,新增说明/检查
无,cases/tandem_baseline_r2/PARAMETER_MAP.csv,新增说明/检查
project/cases/per_case/tandem_baseline_r2/tandem_baseline_r2_case.m,cases/tandem_baseline_r2/tandem_baseline_r2_case.m,P1分节及P2本地化
无,cases/tandem_baseline_r2/PARAMETER_GUIDE.md,新增说明/检查
无,cases/tandem_baseline_r2/input/README.md,新增说明/检查
无,cases/tandem_baseline_r2/output/README.md,新增说明/检查
project/lib/+tblR2/resolve_case_repeats.m,cases/tandem_baseline_r2/maintenance/resolve_case_repeats.m,移维护区；日常不调用
validation/run_review_smoke.m,cases/tandem_baseline_r2/maintenance/checks/run_review_smoke_for_case.m,仅布局/check入口适配，主体/容差不变
project/tests/test_r2_sequence_cache_contract.m,cases/tandem_baseline_r2/maintenance/checks/test_r2_sequence_cache_contract.m,原测试定位适配或本批新增定向测试；未执行
project/tests/test_r2_section4_local_inputs.m,cases/tandem_baseline_r2/maintenance/checks/test_r2_section4_local_inputs.m,原测试定位适配或本批新增定向测试；未执行
project/tests/test_r2_cache_statistics_smoke.m,cases/tandem_baseline_r2/maintenance/checks/test_r2_cache_statistics_smoke.m,原测试定位适配或本批新增定向测试；未执行
project/tests/test_r2_phase_smoke.m,cases/tandem_baseline_r2/maintenance/checks/test_r2_phase_smoke.m,原测试定位适配或本批新增定向测试；未执行
project/tests/test_r2_section4_vlsm_figures.m,cases/tandem_baseline_r2/maintenance/checks/test_r2_section4_vlsm_figures.m,原测试定位适配或本批新增定向测试；未执行
project/tests/test_r2_section5_transport.m,cases/tandem_baseline_r2/maintenance/checks/test_r2_section5_transport.m,原测试定位适配或本批新增定向测试；未执行
新增P1工作区元数据测试,cases/tandem_baseline_r2/maintenance/checks/test_workspace_results.m,新增测试；未执行
project/tests/test_r2_local_dependencies.m,cases/tandem_baseline_r2/maintenance/checks/test_r2_local_dependencies.m,原测试定位适配或本批新增定向测试；未执行
project/tests/test_r2_offline_cache_reuse.m,cases/tandem_baseline_r2/maintenance/checks/test_r2_offline_cache_reuse.m,原测试定位适配或本批新增定向测试；未执行
project/lib/+tblR2/map_joint_modes.m,cases/tandem_baseline_r2/lib/+tblR2/map_joint_modes.m,原库复制
project/lib/+tblR2/mean_stats_cache.m,cases/tandem_baseline_r2/lib/+tblR2/mean_stats_cache.m,原库复制
project/lib/+tblR2/quadrant_streaming.m,cases/tandem_baseline_r2/lib/+tblR2/quadrant_streaming.m,原库复制
project/lib/+tblR2/figures_family.m,cases/tandem_baseline_r2/lib/+tblR2/figures_family.m,原库复制
project/lib/+tblR2/instantaneous_frame_ids.m,cases/tandem_baseline_r2/lib/+tblR2/instantaneous_frame_ids.m,原库复制
project/lib/+tblR2/pod_cache.m,cases/tandem_baseline_r2/lib/+tblR2/pod_cache.m,原库复制
project/lib/+tblR2/wall_distance_grid.m,cases/tandem_baseline_r2/lib/+tblR2/wall_distance_grid.m,原库复制
project/lib/+tblR2/plot_structure_preview.m,cases/tandem_baseline_r2/lib/+tblR2/plot_structure_preview.m,原库复制
project/lib/+tblR2/mean_bl_friction.m,cases/tandem_baseline_r2/lib/+tblR2/mean_bl_friction.m,原库复制
project/lib/+tblR2/temporal_spectra_cache.m,cases/tandem_baseline_r2/lib/+tblR2/temporal_spectra_cache.m,原库复制
project/lib/+tblR2/load_result.m,cases/tandem_baseline_r2/lib/+tblR2/load_result.m,原库复制
project/lib/+tblR2/section4_vlsm_figures.m,cases/tandem_baseline_r2/lib/+tblR2/section4_vlsm_figures.m,原库复制
project/lib/+tblR2/structure_analysis_cache.m,cases/tandem_baseline_r2/lib/+tblR2/structure_analysis_cache.m,原库复制
project/lib/+tblR2/save_result.m,cases/tandem_baseline_r2/lib/+tblR2/save_result.m,原库复制
project/lib/+tblR2/prepare_sequence_cache.m,cases/tandem_baseline_r2/lib/+tblR2/prepare_sequence_cache.m,原库定向修改/新实质检查
project/lib/+tblR2/pod_module.m,cases/tandem_baseline_r2/lib/+tblR2/pod_module.m,原库复制
project/lib/+tblR2/spatial_spectra_cache.m,cases/tandem_baseline_r2/lib/+tblR2/spatial_spectra_cache.m,原库复制
project/lib/+tblR2/select_structure_preview_frames.m,cases/tandem_baseline_r2/lib/+tblR2/select_structure_preview_frames.m,原库复制
project/lib/+tblR2/read_cache_frames.m,cases/tandem_baseline_r2/lib/+tblR2/read_cache_frames.m,原库复制
project/lib/+tblR2/plot_dmd_products.m,cases/tandem_baseline_r2/lib/+tblR2/plot_dmd_products.m,原库复制
project/lib/+tblR2/pod_cluster_analysis.m,cases/tandem_baseline_r2/lib/+tblR2/pod_cluster_analysis.m,原库复制
project/lib/+tblR2/range_average_profiles.m,cases/tandem_baseline_r2/lib/+tblR2/range_average_profiles.m,原库复制
project/lib/+tblR2/write_case_card.m,cases/tandem_baseline_r2/lib/+tblR2/write_case_card.m,原库复制
project/lib/+tblR2/transport_statistics.m,cases/tandem_baseline_r2/lib/+tblR2/transport_statistics.m,原库复制
project/lib/+tblR2/figures_global.m,cases/tandem_baseline_r2/lib/+tblR2/figures_global.m,原库复制
project/lib/+tblR2/correlation_analysis_cache.m,cases/tandem_baseline_r2/lib/+tblR2/correlation_analysis_cache.m,原库复制
project/lib/+tblR2/ensure_external_toolboxes.m,cases/tandem_baseline_r2/lib/+tblR2/ensure_external_toolboxes.m,原库定向修改/新实质检查
project/lib/+tblR2/workspace_results.m,cases/tandem_baseline_r2/lib/+tblR2/workspace_results.m,原库定向修改/新实质检查
project/lib/+tblR2/pod_denoise_prepare.m,cases/tandem_baseline_r2/lib/+tblR2/pod_denoise_prepare.m,原库复制
project/lib/+tblR2/select_energy_modes.m,cases/tandem_baseline_r2/lib/+tblR2/select_energy_modes.m,原库复制
project/lib/+tblR2/section5_run.m,cases/tandem_baseline_r2/lib/+tblR2/section5_run.m,原库定向修改/新实质检查
project/lib/+tblR2/harmonic_analysis.m,cases/tandem_baseline_r2/lib/+tblR2/harmonic_analysis.m,原库复制
project/lib/+tblR2/plot_products.m,cases/tandem_baseline_r2/lib/+tblR2/plot_products.m,原库复制
project/lib/+tblR2/pod_denoise_prepare_memory_friendly.m,cases/tandem_baseline_r2/lib/+tblR2/pod_denoise_prepare_memory_friendly.m,原库复制
project/lib/+tblR2/streamwise_development_analysis.m,cases/tandem_baseline_r2/lib/+tblR2/streamwise_development_analysis.m,原库复制
project/lib/+tblR2/require_case_library.m,cases/tandem_baseline_r2/lib/+tblR2/require_case_library.m,原库定向修改/新实质检查
project/lib/+tblR2/plot_phase_averaged_maps.m,cases/tandem_baseline_r2/lib/+tblR2/plot_phase_averaged_maps.m,原库复制
project/lib/+tblR2/pod_reconstruction.m,cases/tandem_baseline_r2/lib/+tblR2/pod_reconstruction.m,原库复制
project/lib/+tblR2/gradient_y_sensitivity.m,cases/tandem_baseline_r2/lib/+tblR2/gradient_y_sensitivity.m,原库复制
project/lib/+tblR2/transport_analysis.m,cases/tandem_baseline_r2/lib/+tblR2/transport_analysis.m,原库复制
project/lib/+tblR2/transport_figures.m,cases/tandem_baseline_r2/lib/+tblR2/transport_figures.m,原库复制
project/lib/+tblR2/read_cache_chunk.m,cases/tandem_baseline_r2/lib/+tblR2/read_cache_chunk.m,原库复制
project/lib/+tblR2/pod_cluster_memory_preflight.m,cases/tandem_baseline_r2/lib/+tblR2/pod_cluster_memory_preflight.m,原库复制
project/lib/+tblR2/planar_criteria.m,cases/tandem_baseline_r2/lib/+tblR2/planar_criteria.m,原库复制
project/lib/+tblR2/plot_pod_products.m,cases/tandem_baseline_r2/lib/+tblR2/plot_pod_products.m,原库复制
project/lib/+tblR2/dmd_cache.m,cases/tandem_baseline_r2/lib/+tblR2/dmd_cache.m,原库复制
project/lib/+tblR2/build_paths.m,cases/tandem_baseline_r2/lib/+tblR2/build_paths.m,原库复制
project/lib/+tblR2/plot_lcs_ftle.m,cases/tandem_baseline_r2/lib/+tblR2/plot_lcs_ftle.m,原库复制
project/lib/+tblR2/write_summary.m,cases/tandem_baseline_r2/lib/+tblR2/write_summary.m,原库复制
project/lib/+tblR2/preprocess_structure_velocity.m,cases/tandem_baseline_r2/lib/+tblR2/preprocess_structure_velocity.m,原库复制
project/lib/+tblR2/identify_quadrant_structures.m,cases/tandem_baseline_r2/lib/+tblR2/identify_quadrant_structures.m,原库复制
project/lib/+tblR2/buffer_valid_mask.m,cases/tandem_baseline_r2/lib/+tblR2/buffer_valid_mask.m,原库复制
project/lib/+tblR2/validate_sequence_cache.m,cases/tandem_baseline_r2/lib/+tblR2/validate_sequence_cache.m,原库定向修改/新实质检查
project/lib/+tblR2/identify_structures.m,cases/tandem_baseline_r2/lib/+tblR2/identify_structures.m,原库复制
project/lib/+tblR2/assign_phase.m,cases/tandem_baseline_r2/lib/+tblR2/assign_phase.m,原库复制
project/lib/+tblR2/simple_gaussian_filter2.m,cases/tandem_baseline_r2/lib/+tblR2/simple_gaussian_filter2.m,原库复制
project/lib/+tblR2/spod_cache.m,cases/tandem_baseline_r2/lib/+tblR2/spod_cache.m,原库复制
project/lib/+tblR2/cluster_pod_reconstruction.m,cases/tandem_baseline_r2/lib/+tblR2/cluster_pod_reconstruction.m,原库复制
project/lib/+tblR2/cluster_raw_sequence.m,cases/tandem_baseline_r2/lib/+tblR2/cluster_raw_sequence.m,原库复制
project/lib/+tblR2/catalog_branch_metrics.m,cases/tandem_baseline_r2/lib/+tblR2/catalog_branch_metrics.m,原库复制
project/lib/+tblR2/spod_toolbox_adapter.m,cases/tandem_baseline_r2/lib/+tblR2/spod_toolbox_adapter.m,原库定向修改/新实质检查
project/lib/+tblR2/gaussian_pod_sequence.m,cases/tandem_baseline_r2/lib/+tblR2/gaussian_pod_sequence.m,原库复制
project/lib/+tblR2/plot_core_products.m,cases/tandem_baseline_r2/lib/+tblR2/plot_core_products.m,原库复制
project/lib/+tblR2/validate_config.m,cases/tandem_baseline_r2/lib/+tblR2/validate_config.m,原库定向修改/新实质检查
project/lib/+tblR2/pod_denoise_reconstruct_frame.m,cases/tandem_baseline_r2/lib/+tblR2/pod_denoise_reconstruct_frame.m,原库复制
project/lib/+tblR2/elf_mode_selection.m,cases/tandem_baseline_r2/lib/+tblR2/elf_mode_selection.m,原库复制
project/lib/+tblR2/modal_snapshot_matrix.m,cases/tandem_baseline_r2/lib/+tblR2/modal_snapshot_matrix.m,原库复制
